Dept,Course,Section,Author,Title,ISBN,Edition,YR,Status,Instructor,Campus,Price
ACMA,210,D100,BROVERMAN,MATHEMATICS OF INVESTMENT AND,978-1-62542-485-3,6,15,RQ,SANDERS,BUR,$146.00
ACMA,425,D100,DICKSON,ACTUARIAL MATHEMATICS FOR LIFE,978-1-107-04407-4,2,13,RQ,PARKER,BUR,$125.00
APMA,901,G100,EVANS,PARTIAL DIFFERENTIAL EQUATIONS,978-0-8218-4974-3,2,10,RC,WITTENBERG,BUR,$132.00
APMA,920,G100,TREFETHEN,NUMERICAL LINEAR ALGEBRA,978-0-89871-361-9,1,97,RQ,TRUMMER,BUR,$107.00
ARCH,100,D100,OLSZWQSKI,ARCHAEOLOGY AND HUMANITY'S STO,978-0-19-976456-3,1,15,RQ,MAXWELL,BUR,$104.00
ARCH,100,FIC ALL,OLSZWQSKI,ARCHAEOLOGY AND HUMANITY'S STO,978-0-19-976456-3,1,15,RQ,MAXWELL,BUR,$104.00
ARCH,100,C100,CHAZAN,WORLD PREHISTORY AND ARCHAEOLO,978-0-205-89670-7,3,14,RQ,JAMIESON,BUR,$249.00
ARCH,100,D200,CHAZAN,WORLD PREHISTORY AND ARCHAEOLO,978-0-205-89670-7,3,14,RQ,BERNA,BUR,$249.00
ARCH,100,D900,CHAZAN,WORLD PREHISTORY AND ARCHAEOLO,978-0-205-89670-7,3,14,RQ,BUMANN,SUR,$249.00
ARCH,131,J100,MARKS,ALTERNATIVE INTRODUCTION TO BI,978-0-19-515703-1,1,10,RC,DOYLE,HRB,$55.00
ARCH,131,J100,LEWIS,UNDERSTANDING HUMANS,978-1-111-83177-6,11,12,RQ,DOYLE,HRB,$158.00
ARCH,200,E100,SOMERVILLE,VIKING AGE: A READER,978-1-4426-0867-2,2,14,RQ,RAFFIELD,BUR,$55.00
ARCH,200,E100,BRINK,VIKING WORLD,978-0-415-69262-5,1,11,RQ,RAFFIELD,BUR,$86.00
ARCH,201,D100,RENFREW,ARCHAEOLOGY : THEORIES METHODS,978-0-500-29210-5,7,16,RQ,BURLEY,BUR,$133.00
ARCH,286,D100,WEST,UNDERSTANDING HERITAGE IN PRAC,978-0-7190-8154-5,1,10,RQ,WELCH,BUR,$48.00
ARCH,321,D100,COE,THE MAYA,978-0-500-29188-7,9,15,RQ,MAXWELL,BUR,$31.00
ARCH,372,D100,HURCOMBE,ARCHAEOLOGICAL ARTEFACTS AS MA,978-0-415-32092-4,1,7,RQ,MUIR,BUR,$67.00
ARCH,373,D100,WHITE,HUMAN BONE MANUAL,978-0-12-088467-4,1,5,RQ,CARDOSO,BUR,$71.00
ARCH,373,D100,BASS,HUMAN OSTEOLOGY,978-0-943414-96-6,5,5,RQ,CARDOSO,BUR,$54.00
ARCH,388,D100,GOLDBERG,PRACTICAL & THEORETICAL GEOARC,978-0-632-06044-3,1,6,RQ,BERNA,BUR,$129.00
ARCH,272W,D100,SCARRE,HUMAN PAST,978-0-500-29063-7,3,13,RQ,D'ANDREA,BUR,$140.00
ARCH,272W,D100,MULLER,WRITING IN THE SOCIAL SCIENCE,978-0-19-900986-2,2,14,RQ,D'ANDREA,BUR,$33.00
ARCH,471W,D100,JOHNSON,ARCHAEOLOGICAL THEORY,978-1-4051-0015-1,2,10,RQ,NICHOLAS,BUR,$59.95
ARCH,471W,D100,OBRIEN,ARCHAEOLOGY AS A PROCESS,978-0-87480-907-7,1,7,RC,NICHOLAS,BUR,$43.00
ARCH,471W,D100,TRIGGER,HISTORY OF ARCHAEOLOGICAL THOU,978-0-521-60049-1,2,6,RQ,NICHOLAS,BUR,$51.95
ARCH,471W,D100,MULLER,WRITING IN THE SOCIAL SCIENCE,978-0-19-900986-2,2,14,RC,NICHOLAS,BUR,$33.00
